ts,series_id,value
2025-05-07T19:15:00+05:30,demand_mw,4607.35
2025-05-07T19:30:00+05:30,demand_mw,4613.64
2025-05-07T19:45:00+05:30,demand_mw,4612.44
2025-05-07T20:00:00+05:30,demand_mw,4602.6
2025-05-07T20:15:00+05:30,demand_mw,4614.34
2025-05-07T20:30:00+05:30,demand_mw,4607.48
2025-05-07T20:45:00+05:30,demand_mw,4614.46
2025-05-07T21:00:00+05:30,demand_mw,4634.66
2025-05-07T21:15:00+05:30,demand_mw,4665.82
2025-05-07T21:30:00+05:30,demand_mw,4706.55
2025-05-07T21:45:00+05:30,demand_mw,4778.54
2025-05-07T22:00:00+05:30,demand_mw,4849.08
2025-05-07T22:15:00+05:30,demand_mw,4518.89
2025-05-07T22:30:00+05:30,demand_mw,3961.45
2025-05-07T22:45:00+05:30,demand_mw,3809.48
2025-05-07T23:00:00+05:30,demand_mw,3809.94
2025-05-07T23:15:00+05:30,demand_mw,3850.46
2025-05-07T23:30:00+05:30,demand_mw,4139.76
2025-05-07T23:45:00+05:30,demand_mw,4436.52
2025-05-08T00:00:00+05:30,demand_mw,4441.01
2025-05-08T00:15:00+05:30,demand_mw,4364.17
2025-05-08T00:30:00+05:30,demand_mw,4277.7
2025-05-08T00:45:00+05:30,demand_mw,4209.97
2025-05-08T01:00:00+05:30,demand_mw,4117.61
2025-05-08T01:15:00+05:30,demand_mw,4052.56
2025-05-08T01:30:00+05:30,demand_mw,4000.77
2025-05-08T01:45:00+05:30,demand_mw,3960.41
2025-05-08T02:00:00+05:30,demand_mw,3916.89
2025-05-08T02:15:00+05:30,demand_mw,3851.61
2025-05-08T02:30:00+05:30,demand_mw,3811.21
2025-05-08T02:45:00+05:30,demand_mw,3755.1
2025-05-08T03:00:00+05:30,demand_mw,3716.96
2025-05-08T03:15:00+05:30,demand_mw,3665.34
2025-05-08T03:30:00+05:30,demand_mw,3644.75
2025-05-08T03:45:00+05:30,demand_mw,3635.86
2025-05-08T04:00:00+05:30,demand_mw,3633.52
2025-05-08T04:15:00+05:30,demand_mw,3622.83
2025-05-08T04:30:00+05:30,demand_mw,3608.39
2025-05-08T04:45:00+05:30,demand_mw,3591.92
2025-05-08T05:00:00+05:30,demand_mw,3600.23
2025-05-08T05:15:00+05:30,demand_mw,3608.47
2025-05-08T05:30:00+05:30,demand_mw,3623.42
2025-05-08T05:45:00+05:30,demand_mw,3632.79
2025-05-08T06:00:00+05:30,demand_mw,3654.01
2025-05-08T06:15:00+05:30,demand_mw,3667.48
2025-05-08T06:30:00+05:30,demand_mw,3649.53
2025-05-08T06:45:00+05:30,demand_mw,3614.75
2025-05-08T07:00:00+05:30,demand_mw,3592.78
2025-05-08T07:15:00+05:30,demand_mw,3561.25
2025-05-08T07:30:00+05:30,demand_mw,3533.67
2025-05-08T07:45:00+05:30,demand_mw,3472.82
2025-05-08T08:00:00+05:30,demand_mw,3453.52
2025-05-08T08:15:00+05:30,demand_mw,3447.52
2025-05-08T08:30:00+05:30,demand_mw,3415.9
2025-05-08T08:45:00+05:30,demand_mw,3437.98
2025-05-08T09:00:00+05:30,demand_mw,3495.43
2025-05-08T09:15:00+05:30,demand_mw,3571.9
2025-05-08T09:30:00+05:30,demand_mw,3618.19
2025-05-08T09:45:00+05:30,demand_mw,3690.49
2025-05-08T10:00:00+05:30,demand_mw,3694.49
2025-05-08T10:15:00+05:30,demand_mw,3714.3
2025-05-08T10:30:00+05:30,demand_mw,3697.26
2025-05-08T10:45:00+05:30,demand_mw,3699.15
2025-05-08T11:00:00+05:30,demand_mw,3698.8
2025-05-08T11:15:00+05:30,demand_mw,3689.43
2025-05-08T11:30:00+05:30,demand_mw,3671.65
2025-05-08T11:45:00+05:30,demand_mw,3679.79
2025-05-08T12:00:00+05:30,demand_mw,3684.51
2025-05-08T12:15:00+05:30,demand_mw,3696.72
2025-05-08T12:30:00+05:30,demand_mw,3734.25
2025-05-08T12:45:00+05:30,demand_mw,3737.46
2025-05-08T13:00:00+05:30,demand_mw,3663.56
2025-05-08T13:15:00+05:30,demand_mw,3691.3
2025-05-08T13:30:00+05:30,demand_mw,3749.35
2025-05-08T13:45:00+05:30,demand_mw,3832.34
2025-05-08T14:00:00+05:30,demand_mw,3963.03
2025-05-08T14:15:00+05:30,demand_mw,4068.72
2025-05-08T14:30:00+05:30,demand_mw,4139.31
2025-05-08T14:45:00+05:30,demand_mw,4184.5
2025-05-08T15:00:00+05:30,demand_mw,4266.03
2025-05-08T15:15:00+05:30,demand_mw,4298.82
2025-05-08T15:30:00+05:30,demand_mw,4326.54
2025-05-08T15:45:00+05:30,demand_mw,4374.15
2025-05-08T16:00:00+05:30,demand_mw,4368.99
2025-05-08T16:15:00+05:30,demand_mw,4321.24
2025-05-08T16:30:00+05:30,demand_mw,4365.45
2025-05-08T16:45:00+05:30,demand_mw,4379.02
2025-05-08T17:00:00+05:30,demand_mw,4363.42
2025-05-08T17:15:00+05:30,demand_mw,4347.98
2025-05-08T17:30:00+05:30,demand_mw,4303.66
2025-05-08T17:45:00+05:30,demand_mw,4345.4
2025-05-08T18:00:00+05:30,demand_mw,4305.28
2025-05-08T18:15:00+05:30,demand_mw,4335.89
2025-05-08T18:30:00+05:30,demand_mw,4492.11
2025-05-08T18:45:00+05:30,demand_mw,4699.82
2025-05-08T19:00:00+05:30,demand_mw,4845.18
2025-05-08T19:15:00+05:30,demand_mw,4861.59
2025-05-08T19:30:00+05:30,demand_mw,4845.91
2025-05-08T19:45:00+05:30,demand_mw,4840.55
2025-05-08T20:00:00+05:30,demand_mw,4823.31
2025-05-08T20:15:00+05:30,demand_mw,4817.14
2025-05-08T20:30:00+05:30,demand_mw,4797.33
2025-05-08T20:45:00+05:30,demand_mw,4795.89
2025-05-08T21:00:00+05:30,demand_mw,4801.63
2025-05-08T21:15:00+05:30,demand_mw,4843.27
2025-05-08T21:30:00+05:30,demand_mw,4891.43
2025-05-08T21:45:00+05:30,demand_mw,4946.91
2025-05-08T22:00:00+05:30,demand_mw,5046.92
2025-05-08T22:15:00+05:30,demand_mw,5130.22
2025-05-08T22:30:00+05:30,demand_mw,5112.5
2025-05-08T22:45:00+05:30,demand_mw,5090.48
2025-05-08T23:00:00+05:30,demand_mw,5047.95
2025-05-08T23:15:00+05:30,demand_mw,4986.9
2025-05-08T23:30:00+05:30,demand_mw,4886.18
2025-05-08T23:45:00+05:30,demand_mw,4789.63
2025-05-09T00:00:00+05:30,demand_mw,4669.78
2025-05-09T00:15:00+05:30,demand_mw,4604.5
2025-05-09T00:30:00+05:30,demand_mw,4517.19
2025-05-09T00:45:00+05:30,demand_mw,4442.93
2025-05-09T01:00:00+05:30,demand_mw,4368.35
2025-05-09T01:15:00+05:30,demand_mw,4308.22
2025-05-09T01:30:00+05:30,demand_mw,4216.92
2025-05-09T01:45:00+05:30,demand_mw,4133.38
2025-05-09T02:00:00+05:30,demand_mw,4069.3
2025-05-09T02:15:00+05:30,demand_mw,4022.56
2025-05-09T02:30:00+05:30,demand_mw,3981.07
2025-05-09T02:45:00+05:30,demand_mw,3936.65
2025-05-09T03:00:00+05:30,demand_mw,3924.16
2025-05-09T03:15:00+05:30,demand_mw,3884.69
2025-05-09T03:30:00+05:30,demand_mw,3857.81
2025-05-09T03:45:00+05:30,demand_mw,3823.67
2025-05-09T04:00:00+05:30,demand_mw,3802.77
2025-05-09T04:15:00+05:30,demand_mw,3776.23
2025-05-09T04:30:00+05:30,demand_mw,3764.69
2025-05-09T04:45:00+05:30,demand_mw,3754.19
2025-05-09T05:00:00+05:30,demand_mw,3763.01
2025-05-09T05:15:00+05:30,demand_mw,3762.0
2025-05-09T05:30:00+05:30,demand_mw,3756.95
2025-05-09T05:45:00+05:30,demand_mw,3765.33
2025-05-09T06:00:00+05:30,demand_mw,3778.47
2025-05-09T06:15:00+05:30,demand_mw,3799.92
2025-05-09T06:30:00+05:30,demand_mw,3803.85
2025-05-09T06:45:00+05:30,demand_mw,3763.93
2025-05-09T07:00:00+05:30,demand_mw,3718.46
2025-05-09T07:15:00+05:30,demand_mw,3673.43
2025-05-09T07:30:00+05:30,demand_mw,3618.03
2025-05-09T07:45:00+05:30,demand_mw,3569.31
2025-05-09T08:00:00+05:30,demand_mw,3532.45
2025-05-09T08:15:00+05:30,demand_mw,3508.55
2025-05-09T08:30:00+05:30,demand_mw,3433.18
2025-05-09T08:45:00+05:30,demand_mw,3415.49
2025-05-09T09:00:00+05:30,demand_mw,3460.85
2025-05-09T09:15:00+05:30,demand_mw,3503.77
2025-05-09T09:30:00+05:30,demand_mw,3525.34
2025-05-09T09:45:00+05:30,demand_mw,3548.61
2025-05-09T10:00:00+05:30,demand_mw,3562.08
2025-05-09T10:15:00+05:30,demand_mw,3595.46
2025-05-09T10:30:00+05:30,demand_mw,3606.69
2025-05-09T10:45:00+05:30,demand_mw,3623.99
2025-05-09T11:00:00+05:30,demand_mw,3657.83
2025-05-09T11:15:00+05:30,demand_mw,3603.71
2025-05-09T11:30:00+05:30,demand_mw,3613.97
2025-05-09T11:45:00+05:30,demand_mw,3629.99
2025-05-09T12:00:00+05:30,demand_mw,3689.21
2025-05-09T12:15:00+05:30,demand_mw,3684.88
2025-05-09T12:30:00+05:30,demand_mw,3650.42
2025-05-09T12:45:00+05:30,demand_mw,3620.74
2025-05-09T13:00:00+05:30,demand_mw,3574.09
2025-05-09T13:15:00+05:30,demand_mw,3590.82
2025-05-09T13:30:00+05:30,demand_mw,3636.14
2025-05-09T13:45:00+05:30,demand_mw,3696.95
2025-05-09T14:00:00+05:30,demand_mw,3831.96
2025-05-09T14:15:00+05:30,demand_mw,3973.85
2025-05-09T14:30:00+05:30,demand_mw,4057.81
2025-05-09T14:45:00+05:30,demand_mw,4133.88
2025-05-09T15:00:00+05:30,demand_mw,4194.22
2025-05-09T15:15:00+05:30,demand_mw,4235.0
2025-05-09T15:30:00+05:30,demand_mw,4269.69
2025-05-09T15:45:00+05:30,demand_mw,4315.69
2025-05-09T16:00:00+05:30,demand_mw,4311.54
2025-05-09T16:15:00+05:30,demand_mw,4320.51
2025-05-09T16:30:00+05:30,demand_mw,4341.98
2025-05-09T16:45:00+05:30,demand_mw,4303.68
2025-05-09T17:00:00+05:30,demand_mw,4274.01
2025-05-09T17:15:00+05:30,demand_mw,4302.1
2025-05-09T17:30:00+05:30,demand_mw,4298.09
2025-05-09T17:45:00+05:30,demand_mw,4271.22
2025-05-09T18:00:00+05:30,demand_mw,4217.9
2025-05-09T18:15:00+05:30,demand_mw,4237.64
2025-05-09T18:30:00+05:30,demand_mw,4370.65
2025-05-09T18:45:00+05:30,demand_mw,4590.73
2025-05-09T19:00:00+05:30,demand_mw,4740.08
2025-05-09T19:15:00+05:30,demand_mw,4739.18
2025-05-09T19:30:00+05:30,demand_mw,4736.45
2025-05-09T19:45:00+05:30,demand_mw,4736.31
2025-05-09T20:00:00+05:30,demand_mw,4721.34
2025-05-09T20:15:00+05:30,demand_mw,4726.97
2025-05-09T20:30:00+05:30,demand_mw,4718.09
2025-05-09T20:45:00+05:30,demand_mw,4699.7
2025-05-09T21:00:00+05:30,demand_mw,4725.27
2025-05-09T21:15:00+05:30,demand_mw,4770.28
2025-05-09T21:30:00+05:30,demand_mw,4823.92
2025-05-09T21:45:00+05:30,demand_mw,4888.83
2025-05-09T22:00:00+05:30,demand_mw,4965.43
2025-05-09T22:15:00+05:30,demand_mw,5068.88
2025-05-09T22:30:00+05:30,demand_mw,5081.12
2025-05-09T22:45:00+05:30,demand_mw,5057.62
2025-05-09T23:00:00+05:30,demand_mw,5043.45
2025-05-09T23:15:00+05:30,demand_mw,4997.2
2025-05-09T23:30:00+05:30,demand_mw,4915.7
2025-05-09T23:45:00+05:30,demand_mw,4831.12
2025-05-10T00:00:00+05:30,demand_mw,4716.95
2025-05-10T00:15:00+05:30,demand_mw,4632.55
2025-05-10T00:30:00+05:30,demand_mw,4538.78
2025-05-10T00:45:00+05:30,demand_mw,4462.76
